"Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2024",,,,,,,,,,,
Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result,Column1,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,50th Percentile,2014,Hours,25,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,90th Percentile,2014,Hours,49,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair,Volume,2014,Number of cases,"2,045",,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014,Proportion,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014,Hours,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014,Hours,n/a,,,,
Provincial,British Columbia,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Hip Replacement,% Meeting Benchmark,2014,Proportion,67,,,,
Provincial,British Columbia,n/a,Hip Replacement,50th Percentile,2014,Days,126,,,,
Provincial,British Columbia,n/a,Hip Replacement,90th Percentile,2014,Days,310,,,,
Provincial,British Columbia,n/a,Hip Replacement,Volume,2014,Number of cases,"2,581",,,,
Regional,British Columbia,Interior Health,Hip Replacement,% Meeting Benchmark,2014,Proportion,66,,,,
Regional,British Columbia,Interior Health,Hip Replacement,50th Percentile,2014,Days,140,,,,
Regional,British Columbia,Interior Health,Hip Replacement,90th Percentile,2014,Days,330,,,,
Regional,British Columbia,Interior Health,Hip Replacement,Volume,2014,Number of cases,534,,,,
Regional,British Columbia,Fraser Health,Hip Replacement,% Meeting Benchmark,2014,Proportion,74,,,,
Regional,British Columbia,Fraser Health,Hip Replacement,50th Percentile,2014,Days,95,,,,
Regional,British Columbia,Fraser Health,Hip Replacement,90th Percentile,2014,Days,272,,,,
Regional,British Columbia,Fraser Health,Hip Replacement,Volume,2014,Number of cases,417,,,,
Regional,British Columbia,Vancouver Coastal Health,Hip Replacement,% Meeting Benchmark,2014,Proportion,82,,,,
Regional,British Columbia,Vancouver Coastal Health,Hip Replacement,50th Percentile,2014,Days,95,,,,
Regional,British Columbia,Vancouver Coastal Health,Hip Replacement,90th Percentile,2014,Days,227,,,,
Regional,British Columbia,Vancouver Coastal Health,Hip Replacement,Volume,2014,Number of cases,898,,,,
Regional,British Columbia,Island Health,Hip Replacement,% Meeting Benchmark,2014,Proportion,39,,,,
Regional,British Columbia,Island Health,Hip Replacement,50th Percentile,2014,Days,224,,,,
Regional,British Columbia,Island Health,Hip Replacement,90th Percentile,2014,Days,384,,,,
Regional,British Columbia,Island Health,Hip Replacement,Volume,2014,Number of cases,584,,,,
Regional,British Columbia,Northern Health,Hip Replacement,% Meeting Benchmark,2014,Proportion,76,,,,
Regional,British Columbia,Northern Health,Hip Replacement,50th Percentile,2014,Days,111,,,,
Regional,British Columbia,Northern Health,Hip Replacement,90th Percentile,2014,Days,291,,,,
Regional,British Columbia,Northern Health,Hip Replacement,Volume,2014,Number of cases,148,,,,
Provincial,British Columbia,n/a,Knee Replacement,% Meeting Benchmark,2014,Proportion,57,,,,
Provincial,British Columbia,n/a,Knee Replacement,50th Percentile,2014,Days,160,,,,
Provincial,British Columbia,n/a,Knee Replacement,90th Percentile,2014,Days,341,,,,
Provincial,British Columbia,n/a,Knee Replacement,Volume,2014,Number of cases,"3,588",,,,
Regional,British Columbia,Interior Health,Knee Replacement,% Meeting Benchmark,2014,Proportion,56,,,,
Regional,British Columbia,Interior Health,Knee Replacement,50th Percentile,2014,Days,167,,,,
Regional,British Columbia,Interior Health,Knee Replacement,90th Percentile,2014,Days,376,,,,
Regional,British Columbia,Interior Health,Knee Replacement,Volume,2014,Number of cases,777,,,,
Regional,British Columbia,Fraser Health,Knee Replacement,% Meeting Benchmark,2014,Proportion,59,,,,
Regional,British Columbia,Fraser Health,Knee Replacement,50th Percentile,2014,Days,154,,,,
Regional,British Columbia,Fraser Health,Knee Replacement,90th Percentile,2014,Days,308,,,,
Regional,British Columbia,Fraser Health,Knee Replacement,Volume,2014,Number of cases,850,,,,
Regional,British Columbia,Vancouver Coastal Health,Knee Replacement,% Meeting Benchmark,2014,Proportion,73,,,,
Regional,British Columbia,Vancouver Coastal Health,Knee Replacement,50th Percentile,2014,Days,105,,,,
Regional,British Columbia,Vancouver Coastal Health,Knee Replacement,90th Percentile,2014,Days,249,,,,
Regional,British Columbia,Vancouver Coastal Health,Knee Replacement,Volume,2014,Number of cases,"1,027",,,,
Regional,British Columbia,Island Health,Knee Replacement,% Meeting Benchmark,2014,Proportion,26,,,,
Regional,British Columbia,Island Health,Knee Replacement,50th Percentile,2014,Days,278,,,,
Regional,British Columbia,Island Health,Knee Replacement,90th Percentile,2014,Days,400,,,,
Regional,British Columbia,Island Health,Knee Replacement,Volume,2014,Number of cases,684,,,,
Regional,British Columbia,Northern Health,Knee Replacement,% Meeting Benchmark,2014,Proportion,72,,,,
Regional,British Columbia,Northern Health,Knee Replacement,50th Percentile,2014,Days,106,,,,
Regional,British Columbia,Northern Health,Knee Replacement,90th Percentile,2014,Days,319,,,,
Regional,British Columbia,Northern Health,Knee Replacement,Volume,2014,Number of cases,250,,,,
Provincial,British Columbia,n/a,Lung Cancer Surgery,50th Percentile,2014,Days,20,,,,
Provincial,British Columbia,n/a,Lung Cancer Surgery,90th Percentile,2014,Days,48,,,,
Provincial,British Columbia,n/a,Lung Cancer Surgery,Volume,2014,Number of cases,405,,,,
Provincial,British Columbia,n/a,MRI Scan,50th Percentile,2014,Days,n/a,,,,
Provincial,British Columbia,n/a,MRI Scan,90th Percentile,2014,Days,n/a,,,,
Provincial,British Columbia,n/a,MRI Scan,Volume,2014,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Prostate Cancer Surgery,50th Percentile,2014,Days,29,,,,
Provincial,British Columbia,n/a,Prostate Cancer Surgery,90th Percentile,2014,Days,74,,,,
Provincial,British Columbia,n/a,Prostate Cancer Surgery,Volume,2014,Number of cases,423,,,,
Provincial,British Columbia,n/a,Radiation Therapy,% Meeting Benchmark,2014,Proportion,95,,,,
Provincial,British Columbia,n/a,Radiation Therapy,50th Percentile,2014,Days,7,,,,
Provincial,British Columbia,n/a,Radiation Therapy,90th Percentile,2014,Days,22,,,,
Provincial,British Columbia,n/a,Radiation Therapy,Volume,2014,Number of cases,"6,175",,,,
National,Canada,n/a,Bladder Cancer Surgery,50th Percentile,2014,Days,24,,,,
National,Canada,n/a,Bladder Cancer Surgery,90th Percentile,2014,Days,57,,,,
National,Canada,n/a,Bladder Cancer Surgery,Volume,2014,Number of cases,"11,918",,,,
National,Canada,n/a,Breast Cancer Surgery,50th Percentile,2014,Days,20,,,,
National,Canada,n/a,Breast Cancer Surgery,90th Percentile,2014,Days,42,,,,
National,Canada,n/a,Breast Cancer Surgery,Volume,2014,Number of cases,"14,931",,,,
National,Canada,n/a,CABG,50th Percentile,2014,Days,7,,,,
National,Canada,n/a,CABG,90th Percentile,2014,Days,68,,,,
National,Canada,n/a,CABG,Volume,2014,Number of cases,"7,959",,,,
National,Canada,n/a,Cataract Surgery,% Meeting Benchmark,2014,Proportion,80,,,,
National,Canada,n/a,Cataract Surgery,50th Percentile,2014,Days,49,,,,
National,Canada,n/a,Cataract Surgery,90th Percentile,2014,Days,161,,,,
National,Canada,n/a,Cataract Surgery,Volume,2014,Number of cases,"168,072",,,,
National,Canada,n/a,Colorectal Cancer Surgery,50th Percentile,2014,Days,20,,,,
National,Canada,n/a,Colorectal Cancer Surgery,90th Percentile,2014,Days,45,,,,
National,Canada,n/a,Colorectal Cancer Surgery,Volume,2014,Number of cases,"7,652",,,,
National,Canada,n/a,CT Scan,50th Percentile,2014,Days,n/a,,,,
National,Canada,n/a,CT Scan,90th Percentile,2014,Days,n/a,,,,
National,Canada,n/a,CT Scan,Volume,2014,Number of cases,n/a,,,,
National,Canada,n/a,Hip Fracture Repair,% Meeting Benchmark,2014,Proportion,84,,,,
National,Canada,n/a,Hip Fracture Repair,50th Percentile,2014,Hours,24,,,,
National,Canada,n/a,Hip Fracture Repair,90th Percentile,2014,Hours,59,,,,
National,Canada,n/a,Hip Fracture Repair,Volume,2014,Number of cases,"10,680",,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014,Proportion,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014,Hours,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014,Hours,n/a,,,,
National,Canada,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,n/a,,,,
National,Canada,n/a,Hip Replacement,% Meeting Benchmark,2014,Proportion,82,,,,
National,Canada,n/a,Hip Replacement,50th Percentile,2014,Days,89,,,,
National,Canada,n/a,Hip Replacement,90th Percentile,2014,Days,237,,,,
National,Canada,n/a,Hip Replacement,Volume,2014,Number of cases,"17,532",,,,
National,Canada,n/a,Knee Replacement,% Meeting Benchmark,2014,Proportion,78,,,,
National,Canada,n/a,Knee Replacement,50th Percentile,2014,Days,101,,,,
National,Canada,n/a,Knee Replacement,90th Percentile,2014,Days,259,,,,
National,Canada,n/a,Knee Replacement,Volume,2014,Number of cases,"28,525",,,,
National,Canada,n/a,Lung Cancer Surgery,50th Percentile,2014,Days,21,,,,
National,Canada,n/a,Lung Cancer Surgery,90th Percentile,2014,Days,47,,,,
National,Canada,n/a,Lung Cancer Surgery,Volume,2014,Number of cases,"3,811",,,,
National,Canada,n/a,MRI Scan,50th Percentile,2014,Days,n/a,,,,
National,Canada,n/a,MRI Scan,90th Percentile,2014,Days,n/a,,,,
National,Canada,n/a,MRI Scan,Volume,2014,Number of cases,n/a,,,,
National,Canada,n/a,Prostate Cancer Surgery,50th Percentile,2014,Days,35,,,,
National,Canada,n/a,Prostate Cancer Surgery,90th Percentile,2014,Days,84,,,,
National,Canada,n/a,Prostate Cancer Surgery,Volume,2014,Number of cases,"3,659",,,,
National,Canada,n/a,Radiation Therapy,% Meeting Benchmark,2014,Proportion,98,,,,
National,Canada,n/a,Radiation Therapy,50th Percentile,2014,Days,7,,,,
National,Canada,n/a,Radiation Therapy,90th Percentile,2014,Days,18,,,,
National,Canada,n/a,Radiation Therapy,Volume,2014,Number of cases,"42,206",,,,
Provincial,Manitoba,n/a,Bladder Cancer Surgery,50th Percentile,2014,Days,n/a,,,,
Provincial,Manitoba,n/a,Bladder Cancer Surgery,90th Percentile,2014,Days,n/a,,,,
Provincial,Manitoba,n/a,Bladder Cancer Surgery,Volume,2014,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Breast Cancer Surgery,50th Percentile,2014,Days,22,,,,
Provincial,Manitoba,n/a,Breast Cancer Surgery,90th Percentile,2014,Days,43,,,,
Provincial,Manitoba,n/a,Breast Cancer Surgery,Volume,2014,Number of cases,252,,,,
Provincial,Manitoba,n/a,CABG,50th Percentile,2014,Days,12,,,,
Provincial,Manitoba,n/a,CABG,90th Percentile,2014,Days,121,,,,
Provincial,Manitoba,n/a,CABG,Volume,2014,Number of cases,203,,,,
Provincial,Manitoba,n/a,Cataract Surgery,% Meeting Benchmark,2014,Proportion,63,,,,
Provincial,Manitoba,n/a,Cataract Surgery,50th Percentile,2014,Days,78,,,,
Provincial,Manitoba,n/a,Cataract Surgery,90th Percentile,2014,Days,205,,,,
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2014,Number of cases,"4,292",,,,
Provincial,Manitoba,n/a,Colorectal Cancer Surgery,50th Percentile,2014,Days,n/a,,,,
Provincial,Manitoba,n/a,Colorectal Cancer Surgery,90th Percentile,2014,Days,n/a,,,,
Provincial,Manitoba,n/a,Colorectal Cancer Surgery,Volume,2014,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,CT Scan,50th Percentile,2014,Days,16,,,,
Provincial,Manitoba,n/a,CT Scan,90th Percentile,2014,Days,40,,,,
Provincial,Manitoba,n/a,CT Scan,Volume,2014,Number of cases,"35,046",,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,% Meeting Benchmark,2014,Proportion,91,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,50th Percentile,2014,Hours,20,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,90th Percentile,2014,Hours,47,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2014,Number of cases,487,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014,Proportion,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014,Hours,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014,Hours,n/a,,,,
Provincial,Manitoba,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Hip Replacement,% Meeting Benchmark,2014,Proportion,71,,,,
Provincial,Manitoba,n/a,Hip Replacement,50th Percentile,2014,Days,104,,,,
Provincial,Manitoba,n/a,Hip Replacement,90th Percentile,2014,Days,248,,,,
Provincial,Manitoba,n/a,Hip Replacement,Volume,2014,Number of cases,660,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Hip Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Hip Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Hip Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Hip Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,Manitoba,Southern Health Region,Hip Replacement,% Meeting Benchmark,2014,Proportion,67,,,,
Regional,Manitoba,Southern Health Region,Hip Replacement,50th Percentile,2014,Days,167,,,,
Regional,Manitoba,Southern Health Region,Hip Replacement,90th Percentile,2014,Days,251,,,,
Regional,Manitoba,Southern Health Region,Hip Replacement,Volume,2014,Number of cases,82,,,,
Regional,Manitoba,Prairie Mountain Health Region,Hip Replacement,% Meeting Benchmark,2014,Proportion,93,,,,
Regional,Manitoba,Prairie Mountain Health Region,Hip Replacement,50th Percentile,2014,Days,54,,,,
Regional,Manitoba,Prairie Mountain Health Region,Hip Replacement,90th Percentile,2014,Days,104,,,,
Regional,Manitoba,Prairie Mountain Health Region,Hip Replacement,Volume,2014,Number of cases,27,,,,
Regional,Manitoba,Northern Health Region,Hip Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,Manitoba,Northern Health Region,Hip Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Northern Health Region,Hip Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Northern Health Region,Hip Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Hip Replacement,% Meeting Benchmark,2014,Proportion,70,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Hip Replacement,50th Percentile,2014,Days,98,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Hip Replacement,90th Percentile,2014,Days,246,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Hip Replacement,Volume,2014,Number of cases,551,,,,
Provincial,Manitoba,n/a,Knee Replacement,% Meeting Benchmark,2014,Proportion,71,,,,
Provincial,Manitoba,n/a,Knee Replacement,50th Percentile,2014,Days,112,,,,
Provincial,Manitoba,n/a,Knee Replacement,90th Percentile,2014,Days,274,,,,
Provincial,Manitoba,n/a,Knee Replacement,Volume,2014,Number of cases,"1,058",,,,
Regional,Manitoba,Interlake–Eastern Health Region,Knee Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Knee Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Knee Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Interlake–Eastern Health Region,Knee Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,Manitoba,Southern Health Region,Knee Replacement,% Meeting Benchmark,2014,Proportion,63,,,,
Regional,Manitoba,Southern Health Region,Knee Replacement,50th Percentile,2014,Days,171,,,,
Regional,Manitoba,Southern Health Region,Knee Replacement,90th Percentile,2014,Days,231,,,,
Regional,Manitoba,Southern Health Region,Knee Replacement,Volume,2014,Number of cases,95,,,,
Regional,Manitoba,Prairie Mountain Health Region,Knee Replacement,% Meeting Benchmark,2014,Proportion,82,,,,
Regional,Manitoba,Prairie Mountain Health Region,Knee Replacement,50th Percentile,2014,Days,123,,,,
Regional,Manitoba,Prairie Mountain Health Region,Knee Replacement,90th Percentile,2014,Days,276,,,,
Regional,Manitoba,Prairie Mountain Health Region,Knee Replacement,Volume,2014,Number of cases,96,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,Manitoba,Northern Health Region,Knee Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Knee Replacement,% Meeting Benchmark,2014,Proportion,71,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Knee Replacement,50th Percentile,2014,Days,102,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Knee Replacement,90th Percentile,2014,Days,275,,,,
Regional,Manitoba,Winnipeg–Churchill Health Region,Knee Replacement,Volume,2014,Number of cases,867,,,,
Provincial,Manitoba,n/a,Lung Cancer Surgery,50th Percentile,2014,Days,20,,,,
Provincial,Manitoba,n/a,Lung Cancer Surgery,90th Percentile,2014,Days,35,,,,
Provincial,Manitoba,n/a,Lung Cancer Surgery,Volume,2014,Number of cases,147,,,,
Provincial,Manitoba,n/a,MRI Scan,50th Percentile,2014,Days,82,,,,
Provincial,Manitoba,n/a,MRI Scan,90th Percentile,2014,Days,167,,,,
Provincial,Manitoba,n/a,MRI Scan,Volume,2014,Number of cases,"26,505",,,,
Provincial,Manitoba,n/a,Prostate Cancer Surgery,50th Percentile,2014,Days,n/a,,,,
Provincial,Manitoba,n/a,Prostate Cancer Surgery,90th Percentile,2014,Days,n/a,,,,
Provincial,Manitoba,n/a,Prostate Cancer Surgery,Volume,2014,Number of cases,n/a,,,,
Provincial,Manitoba,n/a,Radiation Therapy,% Meeting Benchmark,2014,Proportion,100,,,,
Provincial,Manitoba,n/a,Radiation Therapy,50th Percentile,2014,Days,7,,,,
Provincial,Manitoba,n/a,Radiation Therapy,90th Percentile,2014,Days,21,,,,
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2014,Number of cases,"1,564",,,,
Provincial,New Brunswick,n/a,Bladder Cancer Surgery,50th Percentile,2014,Days,24,,,,
Provincial,New Brunswick,n/a,Bladder Cancer Surgery,90th Percentile,2014,Days,62,,,,
Provincial,New Brunswick,n/a,Bladder Cancer Surgery,Volume,2014,Number of cases,255,,,,
Provincial,New Brunswick,n/a,Breast Cancer Surgery,50th Percentile,2014,Days,20,,,,
Provincial,New Brunswick,n/a,Breast Cancer Surgery,90th Percentile,2014,Days,42,,,,
Provincial,New Brunswick,n/a,Breast Cancer Surgery,Volume,2014,Number of cases,386,,,,
Provincial,New Brunswick,n/a,CABG,50th Percentile,2014,Days,8,,,,
Provincial,New Brunswick,n/a,CABG,90th Percentile,2014,Days,116,,,,
Provincial,New Brunswick,n/a,CABG,Volume,2014,Number of cases,226,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,% Meeting Benchmark,2014,Proportion,86,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,50th Percentile,2014,Days,43,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,90th Percentile,2014,Days,137,,,,
Provincial,New Brunswick,n/a,Cataract Surgery,Volume,2014,Number of cases,"5,320",,,,
Provincial,New Brunswick,n/a,Colorectal Cancer Surgery,50th Percentile,2014,Days,15,,,,
Provincial,New Brunswick,n/a,Colorectal Cancer Surgery,90th Percentile,2014,Days,45,,,,
Provincial,New Brunswick,n/a,Colorectal Cancer Surgery,Volume,2014,Number of cases,238,,,,
Provincial,New Brunswick,n/a,CT Scan,50th Percentile,2014,Days,n/a,,,,
Provincial,New Brunswick,n/a,CT Scan,90th Percentile,2014,Days,n/a,,,,
Provincial,New Brunswick,n/a,CT Scan,Volume,2014,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,% Meeting Benchmark,2014,Proportion,83,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,50th Percentile,2014,Hours,19,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,90th Percentile,2014,Hours,66,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair,Volume,2014,Number of cases,363,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2014,Proportion,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014,Hours,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2014,Hours,n/a,,,,
Provincial,New Brunswick,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Hip Replacement,% Meeting Benchmark,2014,Proportion,65,,,,
Provincial,New Brunswick,n/a,Hip Replacement,50th Percentile,2014,Days,127,,,,
Provincial,New Brunswick,n/a,Hip Replacement,90th Percentile,2014,Days,383,,,,
Provincial,New Brunswick,n/a,Hip Replacement,Volume,2014,Number of cases,366,,,,
Regional,New Brunswick,South-East Zone (N.B.),Hip Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,South-East Zone (N.B.),Hip Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-East Zone (N.B.),Hip Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-East Zone (N.B.),Hip Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Hip Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Hip Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Hip Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Hip Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Hip Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Hip Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Hip Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Hip Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Hip Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Hip Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Hip Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Hip Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,% Meeting Benchmark,2014,Proportion,63,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,50th Percentile,2014,Days,131,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,90th Percentile,2014,Days,327,,,,
Regional,New Brunswick,Horizon Health Network,Hip Replacement,Volume,2014,Number of cases,257,,,,
Regional,New Brunswick,Vitalité Health Network,Hip Replacement,% Meeting Benchmark,2014,Proportion,68,,,,
Regional,New Brunswick,Vitalité Health Network,Hip Replacement,50th Percentile,2014,Days,113,,,,
Regional,New Brunswick,Vitalité Health Network,Hip Replacement,90th Percentile,2014,Days,485,,,,
Regional,New Brunswick,Vitalité Health Network,Hip Replacement,Volume,2014,Number of cases,109,,,,
Provincial,New Brunswick,n/a,Knee Replacement,% Meeting Benchmark,2014,Proportion,48,,,,
Provincial,New Brunswick,n/a,Knee Replacement,50th Percentile,2014,Days,188,,,,
Provincial,New Brunswick,n/a,Knee Replacement,90th Percentile,2014,Days,480,,,,
Provincial,New Brunswick,n/a,Knee Replacement,Volume,2014,Number of cases,731,,,,
Regional,New Brunswick,South-East Zone (N.B.),Knee Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,South-East Zone (N.B.),Knee Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-East Zone (N.B.),Knee Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-East Zone (N.B.),Knee Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Knee Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Knee Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Knee Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,South-West Zone (N.B.),Knee Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Knee Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Knee Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Knee Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Central Zone (N.B.),Knee Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Knee Replacement,% Meeting Benchmark,2014,Proportion,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Knee Replacement,50th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Knee Replacement,90th Percentile,2014,Days,n/a,,,,
Regional,New Brunswick,Northern Zone (N.B.),Knee Replacement,Volume,2014,Number of cases,n/a,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,% Meeting Benchmark,2014,Proportion,47,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,50th Percentile,2014,Days,199,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,90th Percentile,2014,Days,487,,,,
Regional,New Brunswick,Horizon Health Network,Knee Replacement,Volume,2014,Number of cases,522,,,,
Regional,New Brunswick,Vitalité Health Network,Knee Replacement,% Meeting Benchmark,2014,Proportion,52,,,,
Regional,New Brunswick,Vitalité Health Network,Knee Replacement,50th Percentile,2014,Days,160,,,,
Regional,New Brunswick,Vitalité Health Network,Knee Replacement,90th Percentile,2014,Days,451,,,,
Regional,New Brunswick,Vitalité Health Network,Knee Replacement,Volume,2014,Number of cases,209,,,,
Provincial,New Brunswick,n/a,Lung Cancer Surgery,50th Percentile,2014,Days,18,,,,
Provincial,New Brunswick,n/a,Lung Cancer Surgery,90th Percentile,2014,Days,52,,,,
Provincial,New Brunswick,n/a,Lung Cancer Surgery,Volume,2014,Number of cases,85,,,,
Provincial,New Brunswick,n/a,MRI Scan,50th Percentile,2014,Days,n/a,,,,
Provincial,New Brunswick,n/a,MRI Scan,90th Percentile,2014,Days,n/a,,,,
Provincial,New Brunswick,n/a,MRI Scan,Volume,2014,Number of cases,n/a,,,,
Provincial,New Brunswick,n/a,Prostate Cancer Surgery,50th Percentile,2014,Days,36,,,,
