"
1996,756.10,402.42,314.08,244.17,342.82,75.91,78.84,—,112.31,—,"2,326.66",66.75,"2,393.40"
1997,778.73,410.44,312.47,264.35,373.77,74.45,79.28,—,120.29,—,"2,413.78",62.83,"2,476.60"
1998,821.53,432.11,328.86,261.59,395.84,79.33,76.90,—,137.72,—,"2,533.89",91.82,"2,625.71"
1999,825.72,436.13,346.20,300.76,454.01,82.24,72.14,—,142.22,—,"2,659.43",95.32,"2,754.74"
2000,878.29,458.21,364.41,299.33,509.81,90.91,85.59,—,155.67,—,"2,842.22",104.89,"2,947.11"
2001,923.58,482.69,377.55,335.54,561.04,113.84,110.91,—,175.83,—,"3,080.99",108.16,"3,189.15"
2002,947.01,502.99,401.40,344.04,616.72,110.61,125.89,—,174.44,—,"3,223.11",129.91,"3,353.02"
2003,994.42,525.76,420.53,364.59,668.95,113.67,144.16,—,186.71,—,"3,418.78",116.58,"3,535.36"
2004,"1,042.59",552.07,445.09,345.96,723.15,116.45,143.22,—,191.61,—,"3,560.14",132.51,"3,692.65"
2005,"1,084.23",574.33,453.13,390.17,765.23,119.47,141.70,—,204.06,—,"3,732.32",160.51,"3,892.83"
2006,"1,164.37",611.19,465.73,406.72,820.05,125.02,144.26,—,215.97,—,"3,953.32",184.70,"4,138.02"
2007,"1,240.21",643.69,493.66,410.44,875.31,133.59,146.24,—,226.36,—,"4,169.50",251.53,"4,421.03"
2008,"1,296.10",673.14,544.62,449.07,915.58,137.95,157.34,—,241.43,—,"4,415.22",205.76,"4,620.99"
2009,"1,357.98",702.93,609.91,447.04,952.04,159.12,157.05,—,258.27,—,"4,644.34",231.33,"4,875.67"
2010,"1,407.75",724.87,641.34,478.60,"1,036.14",152.57,159.10,—,272.48,—,"4,872.84",247.70,"5,120.54"
2011,"1,421.39",742.50,682.64,473.96,"1,016.51",155.04,161.12,—,291.69,—,"4,944.85",293.40,"5,238.25"
2012,"1,425.61",764.23,722.36,480.75,"1,066.60",159.99,163.22,—,286.94,—,"5,069.69",325.14,"5,394.83"
2013,"1,438.83",793.08,792.56,517.06,"1,080.59",160.09,159.37,—,290.27,—,"5,231.84",334.47,"5,566.31"
2014,"1,461.89",716.70,840.48,519.55,"1,061.72",162.49,155.70,—,306.41,—,"5,224.95",311.19,"5,536.14"
2015,"1,501.29",825.50,902.09,585.01,"1,108.66",145.19,134.01,—,416.68,—,"5,618.43",269.22,"5,887.65"
2016,"1,459.32",861.33,966.47,673.04,"1,140.36",138.90,153.62,—,480.89,—,"5,873.92",220.18,"6,094.10"
2017,"1,551.65",977.07,984.91,699.27,"1,139.75",139.79,159.95,—,499.60,—,"6,151.98",198.04,"6,350.02"
2018,"1,646.86","1,041.99",967.84,730.80,"1,137.91",151.69,163.29,—,510.42,—,"6,350.81",258.60,"6,609.41"
2019,"1,717.51","1,095.17",958.69,736.93,"1,157.15",162.88,172.94,—,542.22,—,"6,543.49",270.89,"6,814.38"
2020,"1,769.23","1,178.91",829.87,729.00,"1,217.12",179.19,176.47,—,592.61,"1,238.03","7,910.42",319.77,"8,230.19"
2021,"1,867.62","1,328.14",888.63,813.73,"1,308.03",201.81,203.68,—,671.27,"1,311.15","8,594.06",323.19,"8,917.25"
2022,"2,117.55","1,448.09",981.65,918.52,"1,339.39",260.55,221.04,—,750.66,301.00,"8,338.46",407.69,"8,746.15"
2023 f,"2,157.99","1,469.38","1,039.69",974.49,"1,385.22",301.14,237.06,—,794.54,—,"8,359.51",427.56,"8,787.07"
2024 f,"2,165.77","1,512.11","1,041.02","1,029.37","1,394.83",312.38,243.53,—,827.67,—,"8,526.68",457.30,"8,983.98"
,,,,,,,,,,,,,
Ontario,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,233.13,58.85,84.95,49.45,44.58,11.91,14.44,—,14.61,—,511.91,19.69,531.60
1976,268.48,67.57,92.18,56.61,50.10,16.20,12.50,—,16.48,—,580.13,18.98,599.11
1977,282.09,74.36,101.63,65.80,53.47,19.31,13.68,—,19.30,—,629.64,20.00,649.64
1978,298.22,81.63,114.44,73.60,61.40,19.63,12.88,—,21.71,—,683.51,23.33,706.84
1979,320.02,93.20,123.46,83.52,68.47,25.09,16.19,—,23.81,—,753.76,22.96,776.71
1980,350.79,105.52,140.35,95.50,77.50,30.53,18.86,—,28.02,—,847.07,25.79,872.86
1981,411.82,111.85,163.16,110.93,91.74,35.18,22.26,—,35.16,—,982.11,28.18,"1,010.29"
1982,476.33,127.08,189.08,128.03,106.37,40.69,22.62,—,42.59,—,"1,132.79",38.16,"1,170.95"
1983,526.86,138.80,217.93,141.42,120.96,43.68,25.19,—,47.25,—,"1,262.09",48.82,"1,310.91"
1984,565.79,143.63,243.86,155.31,136.90,45.89,29.32,—,51.43,—,"1,372.13",55.30,"1,427.43"
1985,604.25,149.20,272.60,175.87,160.06,49.00,29.40,—,58.84,—,"1,499.22",54.66,"1,553.88"
1986,647.67,157.65,310.55,191.08,186.88,54.34,30.96,—,69.83,—,"1,648.96",56.73,"1,705.69"
1987,689.67,174.56,348.83,204.94,206.35,59.00,31.17,—,77.45,—,"1,791.96",61.79,"1,853.75"
1988,737.24,184.09,374.59,220.27,229.37,65.72,40.48,—,88.79,—,"1,940.55",73.94,"2,014.49"
1989,800.45,189.45,389.61,234.88,250.89,72.90,56.42,—,101.37,—,"2,095.97",78.64,"2,174.61"
1990,829.18,208.76,415.25,255.97,275.82,82.39,59.98,—,114.17,—,"2,241.52",70.00,"2,311.53"
1991,903.19,232.21,460.72,270.82,302.49,87.83,65.31,—,127.11,—,"2,449.69",61.43,"2,511.12"
1992,916.21,252.58,458.56,282.72,340.66,88.70,61.15,—,141.16,—,"2,541.72",66.55,"2,608.27"
1993,905.73,243.71,439.09,297.60,359.07,92.25,73.29,—,148.65,—,"2,559.38",66.88,"2,626.26"
1994,878.78,238.25,439.53,314.97,364.73,103.15,84.02,—,157.94,—,"2,581.38",75.86,"2,657.24"
1995,865.84,233.00,422.91,327.13,388.71,109.56,83.63,—,155.66,—,"2,586.44",88.12,"2,674.56"
1996,872.48,226.73,421.87,334.77,392.97,110.24,84.62,—,156.12,—,"2,599.81",79.42,"2,679.23"
1997,830.25,228.01,445.17,355.46,436.84,119.35,83.26,—,172.19,—,"2,670.53",72.26,"2,742.79"
1998,858.78,241.28,456.13,367.64,484.15,168.24,83.11,—,186.34,—,"2,845.66",68.82,"2,914.47"
1999,897.93,261.36,465.96,392.89,492.52,148.29,105.72,—,204.33,—,"2,969.00",111.40,"3,080.40"
2000,985.27,279.03,485.59,416.65,538.51,163.83,109.87,—,222.81,—,"3,201.54",139.98,"3,341.52"
2001,"1,000.10",288.03,502.35,449.19,580.55,185.23,125.81,—,225.21,—,"3,356.47",156.22,"3,512.69"
2002,"1,082.71",312.60,519.59,468.02,632.14,198.07,132.99,—,232.17,—,"3,578.29",176.20,"3,754.50"
2003,"1,163.12",335.75,548.18,440.73,685.44,263.62,150.16,—,240.27,—,"3,827.26",222.63,"4,049.90"
2004,"1,262.27",394.55,582.30,484.27,730.54,247.06,163.68,—,232.40,—,"4,097.06",201.39,"4,298.45"
2005,"1,308.25",416.66,631.77,502.61,772.03,263.59,161.40,—,240.10,—,"4,296.42",223.43,"4,519.85"
2006,"1,360.77",449.80,684.05,517.05,818.21,283.73,151.05,—,262.28,—,"4,526.93",220.16,"4,747.09"
2007,"1,422.24",479.74,731.92,574.26,853.45,281.11,167.13,—,274.73,—,"4,784.56",299.70,"5,084.26"
2008,"1,492.31",502.12,797.12,586.66,899.22,282.00,158.55,—,320.33,—,"5,038.31",225.66,"5,263.97"
2009,"1,558.87",527.94,845.44,604.43,934.24,304.83,153.05,—,319.52,—,"5,248.33",259.41,"5,507.73"
2010,"1,604.46",548.19,888.05,558.85,982.45,311.99,158.86,—,320.45,—,"5,373.32",306.57,"5,679.88"
2011,"1,645.24",563.22,932.74,553.23,"1,000.65",328.13,166.53,—,323.96,—,"5,513.70",278.97,"5,792.67"
2012,"1,667.54",550.44,951.37,576.61,990.12,334.58,151.41,—,477.17,—,"5,699.23",266.35,"5,965.58"
2013,"1,711.03",563.44,952.04,571.63,986.09,309.04,163.73,—,530.36,—,"5,787.34",247.63,"6,034.97"
2014,"1,728.30",564.72,973.84,598.35,"1,006.75",310.73,158.82,—,556.10,—,"5,897.61",233.27,"6,130.88"
2015,"1,744.22",583.67,981.51,638.56,"1,051.62",319.89,146.18,—,560.26,—,"6,025.91",259.56,"6,285.47"
2016,"1,768.85",593.72,994.35,667.48,"1,078.00",329.64,167.63,—,623.88,—,"6,223.54",248.05,"6,471.59"
2017,"1,800.65",637.43,"1,017.16",718.24,"1,112.12",343.20,182.80,—,606.98,—,"6,418.57",226.57,"6,645.14"
2018,"1,847.50",662.40,"1,037.27",706.59,"1,086.07",358.11,194.93,—,610.88,—,"6,503.75",204.52,"6,708.27"
2019,"1,881.56",696.31,"1,076.01",714.15,"1,114.49",396.50,197.25,—,602.59,—,"6,678.86",212.03,"6,890.89"
2020,"1,909.81",718.84,"1,047.50",606.47,"1,108.31",413.78,172.47,—,625.58,809.13,"7,411.89",270.98,"7,682.87"
2021,"1,944.89",775.41,"1,096.27",821.54,"1,157.88",452.44,184.03,—,690.67,950.28,"8,073.41",251.37,"8,324.78"
2022,"2,130.58",893.09,"1,169.08",810.30,"1,216.50",573.86,203.18,—,741.58,224.85,"7,963.02",261.20,"8,224.22"
2023 f,"2,181.42",973.72,"1,185.07",853.08,"1,237.23",549.63,210.97,—,775.14,—,"7,966.27",249.39,"8,215.66"
2024 f,"2,281.38","1,034.64","1,164.12",886.45,"1,242.85",515.24,216.80,—,803.74,—,"8,145.21",259.67,"8,404.89"
,,,,,,,,,,,,,
Manitoba,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,244.93,64.50,65.80,42.32,50.01,19.33,13.55,—,20.55,—,520.98,12.04,533.02
1976,274.57,80.08,73.75,52.35,49.84,27.86,14.85,—,23.56,—,596.86,13.15,610.01
1977,298.39,88.20,79.53,59.84,51.53,32.89,15.80,—,26.78,—,652.96,27.60,680.56
1978,303.94,96.88,90.99,67.20,54.95,37.22,17.62,—,28.82,—,697.62,21.99,719.61
1979,327.80,108.00,103.87,74.92,67.39,35.62,15.91,—,30.25,—,763.75,29.98,793.74
1980,383.34,121.36,115.05,87.86,84.90,46.78,19.92,—,35.84,—,895.06,44.02,939.08
1981,449.23,146.37,137.23,104.48,100.18,56.24,26.35,—,41.40,—,"1,061.48",52.17,"1,113.65"
1982,510.67,173.86,154.59,117.69,114.83,55.04,30.67,—,54.88,—,"1,212.23",62.23,"1,274.46"
1983,555.39,194.64,164.77,127.09,132.21,60.67,34.08,—,64.06,—,"1,332.90",62.33,"1,395.22"
1984,597.16,200.96,172.66,138.81,138.52,67.28,41.04,—,63.59,—,"1,420.01",65.37,"1,485.38"
1985,633.58,210.00,181.35,150.07,147.99,70.17,43.76,—,67.91,—,"1,504.81",90.11,"1,594.92"
1986,679.69,212.35,196.91,158.51,164.38,77.87,41.95,—,78.25,—,"1,609.91",121.30,"1,731.22"
1987,729.07,223.12,209.55,171.36,175.13,81.65,44.21,—,83.18,—,"1,717.27",85.55,"1,802.83"
1988,781.56,235.06,212.40,189.56,182.12,79.91,47.91,—,89.72,—,"1,818.25",59.56,"1,877.81"
1989,832.56,266.25,225.33,207.73,184.31,85.40,56.95,—,118.07,—,"1,976.61",68.56,"2,045.16"
1990,877.66,296.25,234.35,223.05,203.00,97.27,63.84,—,139.51,—,"2,134.93",112.49,"2,247.42"
1991,877.08,314.36,258.12,234.01,224.97,104.07,47.92,—,147.29,—,"2,207.83",113.73,"2,321.55"
1992,923.58,337.16,264.78,247.70,244.87,109.27,53.16,—,141.64,—,"2,322.16",97.28,"2,419.44"
1993,918.41,342.42,265.11,253.57,269.71,112.22,79.90,—,145.56,—,"2,386.90",72.89,"2,459.79"
1994,920.29,354.93,258.91,265.45,276.31,129.22,75.48,—,153.29,—,"2,433.88",63.27,"2,497.15"
1995,923.53,368.25,253.16,278.74,308.87,138.88,79.95,—,174.50,—,"2,525.88",56.10,"2,581.97"
1996,871.31,373.22,296.71,284.83,324.61,141.81,80.61,—,190.18,—,"2,563.28",57.16,"2,620.44"
1997,888.71,378.17,318.40,297.89,338.56,143.58,80.81,—,211.28,—,"2,657.39",71.79,"2,729.19"
1998,933.77,370.50,353.37,311.59,365.82,153.41,94.66,—,228.73,—,"2,811.84",77.60,"2,889.45"
1999,990.43,417.23,384.47,312.00,379.90,200.78,127.31,—,265.52,—,"3,077.64",162.27,"3,239.90"
2000,"1,055.64",455.10,421.77,323.90,427.24,235.73,127.54,—,316.63,—,"3,363.56",179.12,"3,542.67"
2001,"1,169.12",531.71,454.42,339.70,467.22,237.61,131.91,—,335.77,—,"3,667.46",138.90,"3,806.37"
2002,"1,218.57",537.28,482.25,363.02,522.44,236.05,141.48,—,350.58,—,"3,851.67",132.66,"3,984.34"
2003,"1,259.92",550.80,517.65,374.30,577.24,265.72,150.17,—,355.28,—,"4,051.08",183.55,"4,234.62"
2004,"1,328.75",572.65,547.49,413.58,604.67,292.03,150.13,—,378.93,—,"4,288.22",173.86,"4,462.08"
2005,"1,395.75",629.63,586.04,436.06,637.05,308.56,163.54,—,400.58,—,"4,557.21",220.72,"4,777.92"
2006,"1,486.82",645.50,628.68,474.71,700.09,323.48,171.64,—,427.79,—,"4,858.71",204.10,"5,062.81"
2007,"1,596.89",675.31,656.40,485.62,727.25,351.52,184.47,—,466.60,—,"5,144.06",205.64,"5,349.70"
2008,"1,746.21",719.48,701.02,528.27,748.52,384.10,186.43,—,493.86,—,"5,507.90",144.71,"5,652.61"
2009,"1,865.85",729.50,738.41,526.94,812.11,427.21,196.59,—,531.56,—,"5,828.17",212.29,"6,040.46"
2010,"1,951.65",754.00,791.91,514.10,871.20,433.63,199.37,—,544.70,—,"6,060.56",236.40,"6,296.96"
2011,"2,000.71",742.12,806.89,543.16,858.81,444.90,208.57,—,562.05,—,"6,167.21",245.57,"6,412.78"
2012,"2,021.13",766.02,837.29,554.90,844.74,451.88,214.62,—,623.40,—,"6,313.99",348.62,"6,662.61"
2013,"2,033.76",784.03,906.20,535.44,824.41,463.51,214.58,—,653.26,—,"6,415.18",336.56,"6,751.74"
2014,"2,014.10",923.34,950.70,568.21,805.38,479.35,218.55,—,675.83,—,"6,635.47",206.14,"6,841.60"
2015,"2,153.20",941.10,988.47,585.66,796.44,507.49,212.63,—,707.58,—,"6,892.57",196.63,"7,089.20"
2016,"2,212.59",954.31,"1,033.92",614.30,827.29,513.77,227.52,—,739.41,—,"7,123.10",114.51,"7,237.62"
2017,"2,150.32",989.56,"1,011.63",634.00,829.76,517.68,247.42,—,790.69,—,"7,171.06",116.72,"7,287.78"
2018,"2,047.80",992.91,"1,042.87",642.10,868.62,544.55,295.19,—,772.73,—,"7,206.78",111.26,"7,318.04"
2019,"2,019.33","1,011.58","1,083.82",652.07,876.49,571.59,304.95,—,817.78,—,"7,337.61",143.60,"7,481.21"
2020,"1,964.24","1,050.21","1,038.12",570.28,881.52,654.98,291.93,—,801.86,751.24,"8,004.37",154.21,"8,158.58"
2021,"2,065.44","1,071.78","1,055.88",716.57,928.52,709.33,310.31,—,847.09,775.10,"8,480.02",191.56,"8,671.58"
2022,"2,349.25","1,117.97","1,106.14",682.70,968.80,779.26,341.75,—,933.15,174.60,"8,453.60",318.02,"8,771.62"
2023 f,"2,255.63","1,199.02","1,105.39",719.47,"1,033.99",794.62,374.65,—,"1,017.59",—,"8,500.35",299.19,"8,799.54"
2024 f,"2,357.38","1,242.76","1,277.89",757.74,"1,072.36",809.64,387.66,—,"1,078.67",—,"8,984.11",288.78,"9,272.89"
,,,,,,,,,,,,,
Saskatchewan,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,207.60,55.96,59.93,39.18,38.73,25.56,14.61,—,13.88,—,455.47,25.44,480.91
1976,249.82,63.63,67.55,45.41,43.04,28.24,15.85,—,13.75,—,527.29,31.25,558.54
1977,276.08,70.42,73.39,55.99,44.13,31.35,16.59,—,14.54,—,582.50,39.31,621.80
1978,289.09,78.56,80.14,62.94,47.32,35.26,18.47,—,16.52,—,628.31,25.16,653.47
1979,311.31,97.14,88.41,73.02,50.93,38.20,19.85,—,23.39,—,702.25,30.73,732.98
1980,363.01,106.94,101.74,85.74,56.25,46.15,24.16,—,27.59,—,811.58,31.46,843.04
1981,399.43,138.62,119.54,101.79,69.19,51.66,28.18,—,34.64,—,943.06,29.54,972.59
1982,455.70,180.95,143.54,109.06,88.26,58.96,32.52,—,39.44,—,"1,108.42",36.91,"1,145.33"
1983,493.56,210.82,157.08,120.48,95.20,62.42,35.89,—,43.07,—,"1,218.52",37.51,"1,256.03"
1984,515.35,218.94,167.88,127.60,112.83,68.74,40.81,—,47.58,—,"1,299.71",51.86,"1,351.58"
1985,535.34,229.25,178.64,140.38,132.82,71.85,42.43,—,53.99,—,"1,384.70",106.87,"1,491.57"
1986,567.28,253.99,194.64,146.30,157.52,78.81,46.17,—,63.64,—,"1,508.35",147.73,"1,656.08"
1987,579.69,274.17,202.41,148.13,159.35,83.60,49.57,—,67.11,—,"1,564.00",147.64,"1,711.64"
1988,614.68,279.17,211.54,161.69,179.70,95.47,49.24,—,76.28,—,"1,667.77",119.43,"1,787.20"
1989,677.11,298.70,236.28,176.21,223.33,101.69,58.87,—,86.13,—,"1,858.31",155.40,"2,013.72"
1990,751.76,319.84,255.40,192.82,255.39,111.46,68.53,—,99.66,—,"2,054.85",180.06,"2,234.91"
1991,786.65,335.48,270.06,211.65,272.05,116.63,73.54,—,112.31,—,"2,178.36",135.18,"2,313.54"
1992,766.78,345.66,272.59,214.70,288.49,119.64,73.04,—,121.56,—,"2,202.46",123.20,"2,325.66"
1993,729.44,353.95,258.66,217.55,300.09,125.12,82.77,—,138.29,—,"2,205.86",80.32,"2,286.18"
1994,685.81,364.00,290.08,219.96,317.09,128.78,98.28,—,160.37,—,"2,264.38",98.24,"2,362.62"
1995,654.05,364.22,300.52,227.38,329.15,163.58,103.31,—,180.53,—,"2,322.74",85.40,"2,408.14"
1996,661.53,356.47,301.76,236.64,330.31,171.99,102.15,—,192.86,—,"2,353.70",90.01,"2,443.71"
1997,679.48,363.11,325.09,277.36,352.18,175.07,98.13,—,210.82,—,"2,481.23",128.08,"2,609.31"
1998,728.48,366.14,337.57,265.39,368.59,205.29,99.97,—,213.11,—,"2,584.54",145.99,"2,730.52"
1999,800.26,391.51,356.54,273.51,398.13,201.36,116.74,—,221.60,—,"2,759.66",179.05,"2,938.71"
2000,871.61,431.59,397.38,305.09,432.19,210.15,129.16,—,238.51,—,"3,015.68",125.70,"3,141.39"
2001,964.51,447.95,436.40,339.47,495.55,224.47,135.54,—,269.97,—,"3,313.86",154.82,"3,468.68"
2002,"1,051.67",470.85,471.94,351.34,533.02,235.99,140.51,—,284.91,—,"3,540.21",110.13,"3,650.34"
2003,"1,077.88",508.99,501.06,373.81,587.68,284.62,156.06,—,310.55,—,"3,800.66",107.02,"3,907.67"
2004,"1,129.55",548.57,543.32,382.92,633.69,319.70,171.60,—,322.43,—,"4,051.78",105.73,"4,157.51"
2005,"1,229.17",575.03,593.91,402.57,673.75,372.51,170.49,—,328.51,—,"4,345.94",130.08,"4,476.03"
2006,"1,340.75",640.74,638.32,461.67,695.00,381.57,177.80,—,337.90,—,"4,673.75",158.77,"4,832.52"
2007,"1,430.14",677.43,653.35,479.72,759.15,445.02,203.58,—,350.54,—,"4,998.93",167.69,"5,166.62"
2008,"1,538.63",691.58,696.20,485.16,767.65,455.46,180.21,—,366.13,—,"5,181.01",185.13,"5,366.14"
2009,"1,617.23",715.47,730.33,544.22,813.30,480.26,174.32,—,382.07,—,"5,457.20",201.31,"5,658.52"
2010,"1,749.41",773.71,783.02,541.94,884.18,480.40,178.96,—,437.77,—,"5,829.38",187.18,"6,016.56"
2011,"1,797.46",744.91,839.68,556.64,897.20,543.11,194.23,—,449.89,—,"6,023.12",209.26,"6,232.39"
2012,"1,851.04",766.28,850.96,549.41,874.94,526.41,209.42,—,564.71,—,"6,193.18",223.71,"6,416.89"
2013,"1,875.07",825.63,911.75,543.99,883.22,522.53,199.69,—,584.41,—,"6,346.29",274.07,"6,620.36"
2014,"1,897.52","1,025.55",934.60,565.28,882.75,536.71,196.79,—,601.15,—,"6,640.36",227.53,"6,867.89"
2015,"1,915.44","1,053.28",968.34,661.59,903.81,545.37,183.89,—,640.93,—,"6,872.64",257.86,"7,130.50"
2016,"1,939.35","1,065.70","1,007.98",667.55,902.75,549.15,199.63,—,680.77,—,"7,012.89",346.99,"7,359.87"
2017,"1,948.57","1,140.31","1,048.00",656.52,897.04,559.42,209.16,—,685.58,—,"7,144.61",353.14,"7,497.75"
2018,"1,988.33","1,167.09","1,041.73",677.59,922.11,602.61,242.62,—,702.81,—,"7,344.88",268.74,"7,613.63"
2019,"2,078.03","1,207.93","1,035.47",731.99,957.21,654.91,256.83,—,744.12,—,"7,666.48",273.38,"7,939.87"
2020,"1,997.69","1,230.10","1,051.39",649.95,989.59,784.57,254.17,—,757.57,636.62,"8,351.65",215.70,"8,567.36"
2021,"2,103.70","1,273.26","1,212.18",832.74,"1,027.63",777.11,274.14,—,814.36,648.44,"8,963.56",216.41,"9,179.97"
2022,"2,323.59","1,355.55","1,283.00",843.47,"1,093.79",802.47,327.52,—,921.03,148.23,"9,098.66",219.25,"9,317.91"
2023 f,"2,459.68","1,387.37","1,407.17",896.12,"1,108.65",836.16,358.44,—,"1,021.07",—,"9,474.66",309.24,"9,783.90"
2024 f,"2,458.61","1,395.20","1,434.89",945.04,"1,145.69",854.49,376.07,—,"1,095.83",—,"9,705.81",311.78,"10,017.59"
,,,,,,,,,,,,,
Alberta,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,241.41,52.14,81.13,56.49,45.24,26.74,9.69,—,14.92,—,527.77,20.88,548.65
1976,275.91,57.76,88.90,63.48,48.33,32.08,10.46,—,15.71,—,592.63,27.34,619.97
1977,277.02,63.09,93.99,73.27,50.53,36.21,11.76,—,17.35,—,623.22,29.73,652.95
1978,275.43,74.72,103.22,82.75,54.74,37.46,18.51,—,19.68,—,666.51,58.10,724.62
1979,298.99,83.59,114.51,93.87,63.92,46.08,18.11,—,25.86,—,744.93,104.38,849.30
1980,343.35,92.85,130.28,106.43,70.98,57.35,21.80,—,29.59,—,852.62,130.07,982.69
1981,414.13,103.14,152.77,122.60,77.83,72.56,29.90,—,34.76,—,"1,007.70",137.47,"1,145.17"
1982,526.32,104.43,185.06,137.13,85.90,94.61,31.24,—,38.95,—,"1,203.64",210.66,"1,414.30"
1983,594.54,109.10,207.42,149.57,100.75,96.47,29.64,—,51.33,—,"1,338.82",174.43,"1,513.25"
1984,627.81,115.20,218.92,163.49,116.87,100.47,29.86,—,54.64,—,"1,427.25",145.17,"1,572.42"
1985,673.75,120.65,233.88,181.62,134.87,108.52,32.03,—,63.23,—,"1,548.54",144.30,"1,692.84"
1986,727.07,127.52,252.60,200.51,151.01,115.98,32.42,—,73.24,—,"1,680.34",150.46,"1,830.80"
1987,736.90,126.21,261.07,217.14,166.43,120.17,34.75,—,67.33,—,"1,730.00",116.23,"1,846.23"
1988,782.73,138.61,273.17,238.90,185.03,114.37,38.97,—,91.54,—,"1,863.33",104.20,"1,967.53"
1989,835.49,143.77,292.17,272.98,218.83,120.16,42.06,—,110.71,—,"2,036.17",106.97,"2,143.14"
1990,883.16,160.78,309.24,292.59,234.82,108.99,43.70,—,119.70,—,"2,152.98",106.44,"2,259.42"
1991,911.85,172.77,334.29,312.44,247.32,114.44,46.68,—,127.24,—,"2,267.03",74.99,"2,342.02"
1992,944.08,173.27,353.63,322.91,257.10,119.61,53.00,—,130.23,—,"2,353.83",92.76,"2,446.59"
1993,914.24,168.74,357.28,333.03,277.38,117.87,58.02,—,137.23,—,"2,363.78",86.08,"2,449.86"
1994,784.41,169.14,339.23,342.32,284.78,157.50,63.69,—,140.95,—,"2,282.03",63.54,"2,345.57"
1995,706.72,215.98,307.52,331.13,290.28,128.04,69.20,—,146.57,—,"2,195.45",38.94,"2,234.39"
1996,722.26,225.89,290.51,329.46,311.11,133.71,72.96,—,154.79,—,"2,240.70",48.80,"2,289.50"
1997,788.64,221.37,292.75,378.30,339.78,163.79,80.85,—,185.18,—,"2,450.66",66.11,"2,516.77"
1998,820.46,216.63,311.29,383.01,356.39,193.47,79.19,—,206.09,—,"2,566.52",76.07,"2,642.60"
1999,897.21,219.80,331.07,418.71,397.23,247.94,87.77,—,219.54,—,"2,819.29",148.13,"2,967.42"
2000,983.32,227.87,350.04,460.01,438.61,267.68,100.73,—,241.91,—,"3,070.16",161.23,"3,231.39"
2001,"1,104.59",233.09,398.42,496.94,483.58,297.61,120.81,—,285.14,—,"3,420.18",206.19,"3,626.36"
2002,"1,185.80",227.60,453.47,487.80,523.27,301.48,130.73,—,288.57,—,"3,598.72",206.65,"3,805.37"
2003,"1,236.26",237.60,498.24,493.29,570.11,313.25,141.49,—,301.50,—,"3,791.74",216.07,"4,007.82"
2004,"1,363.92",261.33,516.74,550.27,602.19,349.56,149.48,—,308.07,—,"4,101.55",210.12,"4,311.67"
2005,"1,507.95",251.19,559.75,554.48,624.91,423.11,162.40,—,308.44,—,"4,392.25",248.80,"4,641.05"
2006,"1,615.24",262.57,606.70,641.12,679.39,451.79,172.21,—,344.98,—,"4,773.99",286.10,"5,060.09"
2007,"1,699.24",284.75,657.85,656.06,694.45,505.45,178.93,—,356.31,—,"5,033.06",432.97,"5,466.03"
2008,"1,770.92",297.90,779.90,687.17,712.95,516.32,200.22,—,355.92,—,"5,321.29",372.94,"5,694.23"
2009,"1,845.05",359.78,829.55,718.09,775.79,395.13,190.18,—,429.86,—,"5,543.42",324.81,"5,868.24"
2010,"2,009.75",437.88,903.65,674.69,880.47,395.84,192.48,—,520.43,—,"6,015.20",354.96,"6,370.17"
2011,"1,993.42",460.86,968.12,699.46,927.81,405.51,190.14,—,534.51,—,"6,179.84",330.87,"6,510.71"
2012,"2,062.71",470.79,986.92,729.05,914.83,407.43,194.69,—,588.61,—,"6,355.04",315.21,"6,670.25"
2013,"2,129.03",453.30,"1,033.81",780.15,900.84,411.26,191.11,—,610.49,—,"6,509.98",228.57,"6,738.55"
2014,"2,133.57",650.14,"1,068.79",772.04,900.24,431.76,182.20,—,621.06,—,"6,759.80",215.02,"6,974.82"
2015,"2,134.91",685.08,"1,142.36",841.31,935.74,440.18,162.30,—,624.27,—,"6,966.15",272.28,"7,238.44"
2016,"2,157.59",690.47,"1,190.55",881.97,"1,003.26",463.77,176.35,—,650.34,—,"7,214.30",247.83,"7,462.13"
2017,"2,165.50",774.90,"1,223.45",882.07,"1,018.73",471.85,180.44,—,691.61,—,"7,408.57",262.92,"7,671.48"
2018,"2,151.93",799.73,"1,249.64",923.68,"1,037.43",507.52,249.25,—,676.18,—,"7,595.37",285.71,"7,881.08"
